User ID,Gender,Age,EstimatedSalary,Purchased
4CHAN,Male,19,19000,0
NIHILIST,Male,35,20000,0
FEDORA,Female,26,43000,0
NIHILIST,Female,27,57000,0
NORMIE,Male,19,76000,0
NIHILIST,Male,27,58000,0
4CHAN,Female,27,84000,0
4CHAN,Female,32,150000,1
4CHAN,Male,25,33000,0
NORMIE,Female,35,65000,0
DANK,Female,26,80000,0
FEDORA,Female,26,52000,0
FEDORA,Male,20,86000,0
4CHAN,Male,32,18000,0
NORMIE,Male,18,82000,0
FEDORA,Male,29,80000,0
DANK,Male,47,25000,1
DANK,Male,45,26000,1
NORMIE,Male,46,28000,1
FEDORA,Female,48,29000,1
NORMIE,Male,45,22000,1
NIHILIST,Female,47,49000,1
4CHAN,Male,48,41000,1
NIHILIST,Female,45,22000,1
NORMIE,Male,46,23000,1
4CHAN,Male,47,20000,1
NIHILIST,Male,49,28000,1
DANK,Female,47,30000,1
4CHAN,Male,29,43000,0
NIHILIST,Male,31,18000,0
FEDORA,Male,31,74000,0
FEDORA,Female,27,137000,1
4CHAN,Female,21,16000,0
FEDORA,Female,28,44000,0
NORMIE,Male,27,90000,0
NIHILIST,Male,35,27000,0
4CHAN,Female,33,28000,0
FEDORA,Male,30,49000,0
FEDORA,Female,26,72000,0
NIHILIST,Female,27,31000,0
NORMIE,Female,27,17000,0
NORMIE,Female,33,51000,0
DANK,Male,35,108000,0
NIHILIST,Male,30,15000,0
NIHILIST,Female,28,84000,0
4CHAN,Male,23,20000,0
NIHILIST,Male,25,79000,0
NORMIE,Female,27,54000,0
NIHILIST,Male,30,135000,1
NIHILIST,Female,31,89000,0
NORMIE,Female,24,32000,0
NORMIE,Female,18,44000,0
DANK,Female,29,83000,0
NIHILIST,Female,35,23000,0
NORMIE,Female,27,58000,0
FEDORA,Female,24,55000,0
FEDORA,Female,23,48000,0
DANK,Male,28,79000,0
NIHILIST,Male,22,18000,0
NORMIE,Female,32,117000,0
4CHAN,Male,27,20000,0
DANK,Male,25,87000,0
NIHILIST,Female,23,66000,0
NORMIE,Male,32,120000,1
4CHAN,Female,59,83000,0
DANK,Male,24,58000,0
NIHILIST,Male,24,19000,0
NORMIE,Female,23,82000,0
NORMIE,Female,22,63000,0
FEDORA,Female,31,68000,0
NORMIE,Male,25,80000,0
DANK,Female,24,27000,0
NIHILIST,Female,20,23000,0
4CHAN,Female,33,113000,0
4CHAN,Male,32,18000,0
4CHAN,Male,34,112000,1
FEDORA,Male,18,52000,0
NORMIE,Female,22,27000,0
4CHAN,Female,28,87000,0
4CHAN,Female,26,17000,0
NORMIE,Male,30,80000,0
DANK,Male,39,42000,0
NIHILIST,Male,20,49000,0
DANK,Male,35,88000,0
DANK,Female,30,62000,0
4CHAN,Female,31,118000,1
FEDORA,Male,24,55000,0
NIHILIST,Female,28,85000,0
4CHAN,Male,26,81000,0
FEDORA,Male,35,50000,0
NIHILIST,Male,22,81000,0
FEDORA,Female,30,116000,0
4CHAN,Male,26,15000,0
FEDORA,Female,29,28000,0
FEDORA,Female,29,83000,0
DANK,Female,35,44000,0
NORMIE,Female,35,25000,0
4CHAN,Male,28,123000,1
NIHILIST,Male,35,73000,0
DANK,Female,28,37000,0
NIHILIST,Male,27,88000,0
FEDORA,Male,28,59000,0
4CHAN,Female,32,86000,0
NIHILIST,Female,33,149000,1
DANK,Female,19,21000,0
4CHAN,Male,21,72000,0
4CHAN,Female,26,35000,0
4CHAN,Male,27,89000,0
DANK,Male,26,86000,0
FEDORA,Female,38,80000,0
FEDORA,Female,39,71000,0
NORMIE,Female,37,71000,0
NORMIE,Male,38,61000,0
DANK,Male,37,55000,0
4CHAN,Male,42,80000,0
4CHAN,Male,40,57000,0
DANK,Male,35,75000,0
FEDORA,Male,36,52000,0
FEDORA,Male,40,59000,0
FEDORA,Male,41,59000,0
4CHAN,Female,36,75000,0
NORMIE,Male,37,72000,0
FEDORA,Female,40,75000,0
FEDORA,Male,35,53000,0
4CHAN,Female,41,51000,0
DANK,Female,39,61000,0
4CHAN,Male,42,65000,0
NIHILIST,Male,26,32000,0
FEDORA,Male,30,17000,0
NORMIE,Female,26,84000,0
DANK,Male,31,58000,0
FEDORA,Male,33,31000,0
FEDORA,Male,30,87000,0
NIHILIST,Female,21,68000,0
DANK,Female,28,55000,0
4CHAN,Male,23,63000,0
NORMIE,Female,20,82000,0
4CHAN,Male,30,107000,1
NIHILIST,Female,28,59000,0
4CHAN,Male,19,25000,0
DANK,Male,19,85000,0
FEDORA,Female,18,68000,0
FEDORA,Male,35,59000,0
DANK,Male,30,89000,0
4CHAN,Female,34,25000,0
4CHAN,Female,24,89000,0
NIHILIST,Female,27,96000,1
NORMIE,Female,41,30000,0
NIHILIST,Male,29,61000,0
4CHAN,Male,20,74000,0
4CHAN,Female,26,15000,0
DANK,Male,41,45000,0
NORMIE,Male,31,76000,0
NORMIE,Female,36,50000,0
FEDORA,Male,40,47000,0
DANK,Female,31,15000,0
DANK,Male,46,59000,0
DANK,Male,29,75000,0
DANK,Male,26,30000,0
NORMIE,Female,32,135000,1
NORMIE,Male,32,100000,1
4CHAN,Male,25,90000,0
FEDORA,Female,37,33000,0
NORMIE,Male,35,38000,0
NORMIE,Female,33,69000,0
4CHAN,Female,18,86000,0
DANK,Female,22,55000,0
NORMIE,Female,35,71000,0
NIHILIST,Male,29,148000,1
DANK,Female,29,47000,0
NIHILIST,Male,21,88000,0
4CHAN,Male,34,115000,0
NORMIE,Female,26,118000,0
FEDORA,Female,34,43000,0
DANK,Female,34,72000,0
4CHAN,Female,23,28000,0
4CHAN,Female,35,47000,0
NORMIE,Male,25,22000,0
NORMIE,Male,24,23000,0
NIHILIST,Female,31,34000,0
DANK,Male,26,16000,0
NIHILIST,Female,31,71000,0
DANK,Female,32,117000,1
NIHILIST,Male,33,43000,0
4CHAN,Female,33,60000,0
NORMIE,Male,31,66000,0
DANK,Female,20,82000,0
FEDORA,Female,33,41000,0
NORMIE,Male,35,72000,0
NORMIE,Male,28,32000,0
4CHAN,Male,24,84000,0
4CHAN,Female,19,26000,0
FEDORA,Male,29,43000,0
NIHILIST,Male,19,70000,0
NORMIE,Male,28,89000,0
NIHILIST,Male,34,43000,0
DANK,Female,30,79000,0
4CHAN,Female,20,36000,0
FEDORA,Male,26,80000,0
NIHILIST,Male,35,22000,0
DANK,Male,35,39000,0
NIHILIST,Male,49,74000,0
DANK,Female,39,134000,1
NORMIE,Female,41,71000,0
FEDORA,Female,58,101000,1
NORMIE,Female,47,47000,0
NIHILIST,Female,55,130000,1
DANK,Female,52,114000,0
4CHAN,Female,40,142000,1
FEDORA,Female,46,22000,0
NORMIE,Female,48,96000,1
4CHAN,Male,52,150000,1
FEDORA,Female,59,42000,0
NIHILIST,Male,35,58000,0
FEDORA,Male,47,43000,0
4CHAN,Female,60,108000,1
NORMIE,Male,49,65000,0
DANK,Male,40,78000,0
4CHAN,Female,46,96000,0
NIHILIST,Male,59,143000,1
4CHAN,Female,41,80000,0
FEDORA,Male,35,91000,1
NORMIE,Male,37,144000,1
4CHAN,Male,60,102000,1
NIHILIST,Female,35,60000,0
NORMIE,Male,37,53000,0
4CHAN,Female,36,126000,1
NORMIE,Male,56,133000,1
NORMIE,Female,40,72000,0
DANK,Female,42,80000,1
NORMIE,Female,35,147000,1
4CHAN,Male,39,42000,0
DANK,Male,40,107000,1
NIHILIST,Male,49,86000,1
DANK,Female,38,112000,0
DANK,Male,46,79000,1
4CHAN,Male,40,57000,0
4CHAN,Female,37,80000,0
NORMIE,Female,46,82000,0
NORMIE,Female,53,143000,1
DANK,Male,42,149000,1
DANK,Male,38,59000,0
DANK,Female,50,88000,1
NIHILIST,Female,56,104000,1
